Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Composant),Labels,Labels,Labels,Labels
Task,MGPSUP-2073,51785,Analyse a deadlock cause that occured on Production,farah.chabchoub,farah.chabchoub,Blocker,Done,Done,2018-07-24 17:45,2018-09-07 15:52,,,,,,
Task,MGPSUP-2059,51665,"Bouton ""Add to queue"" n'apparaît pas",,julien.job,Blocker,Done,Done,2018-07-18 11:39,2018-07-25 11:01,,,,,,
Task,MGPSUP-2055,51634,Count all users for all clients and all country (CMA) au 31.12.2017,,matthieu,Blocker,Done,Done,2018-07-16 15:33,2018-07-16 17:46,,,,,,
Task,MGPSUP-2054,51633,Count all users for all clients and all country (CMA) au 31.12.2016 ,,matthieu,Blocker,Done,Done,2018-07-16 15:24,2018-07-16 17:46,,,,,,
Task,MGPSUP-2035,51504,REDFLAG batch GBP - Extraction des Payouts du batch 27150,laurine.taing,florian,Blocker,Done,Done,2018-07-05 17:28,2018-07-05 18:01,,,,,,
Task,MGPSUP-2034,51499,Payin Failed on MGP / KO payline/ end client debited,matthieu,imane.rahmoun,Blocker,Done,Done,2018-07-05 14:56,2018-07-10 12:10,,,,,,
Task,MGPSUP-2030,51476,Count all users for all clients and all country (CMA),richard.prodhomme,matthieu,Blocker,Done,Done,2018-07-04 09:51,2018-07-16 15:24,,,,,,
Task,MGPSUP-2028,51465,Extract all MOP config,taher.sehli,matthieu,Blocker,Done,Done,2018-07-03 10:57,2018-07-05 19:12,,,,,,
Task,MGPSUP-2026,51460,Soft descriptor displayed but not corresponding to the good name of the platform,matthieu,imane.rahmoun,Blocker,Done,Done,2018-07-02 17:30,2018-07-03 09:50,,,,,,
Task,MGPSUP-1986,51175,[BankingAlias] Payins to create,julien.job,roxana,Blocker,Done,Done,2018-06-05 16:48,2018-06-06 15:32,,,,,,
Task,MGPSUP-1973,51040,Extract every payouts FAILED from the begining of SNCF moneypot withdrawal processing,removed85,mickael.pois,Blocker,Done,Done,2018-05-24 10:55,2018-05-24 14:20,,,,,,
Task,MGPSUP-1948,50836,SqlDateTime exception on logout and error when MOP is modified,julien.job,roxana,Blocker,Done,Done,2018-05-09 10:59,2018-05-28 10:44,,,,,,
Task,MGPSUP-1939,50802,Error when updating billing preferences bankaccount,,matthieu,Blocker,Done,Done,2018-05-03 17:44,2018-05-04 11:34,,,,,,
Task,MGPSUP-1935,50789,licence pack office expirée,fabien.beauche,fabien.beauche,Blocker,Done,Done,2018-05-03 10:53,2018-05-03 11:07,,,,,,
Task,MGPSUP-1919,50727,User KYC stats for CMA by Licence Type,removed85,julien.job,Blocker,Done,Done,2018-04-25 11:26,2018-05-09 14:00,,,,,,
Task,MGPSUP-1911,50675,Banking alias lié à l'IBAN FR7615589291000262741394266 impossible à trouver,laurine.taing,removed91,Blocker,Done,Done,2018-04-18 18:32,2018-04-19 11:29,,,,,,
Task,MGPSUP-1910,50670,Extract every transaction for the user Etablissement de France between the 10/04/2017 and 10/04/2018 (FR format),laurine.taing,removed91,Blocker,Done,Done,2018-04-18 16:10,2018-04-19 12:11,,,,,,
Task,MGPSUP-1894,50582,Extract all MOP config (if 3DS amount > 50 €),,matthieu,Blocker,Done,Done,2018-04-04 20:17,2018-07-03 10:57,,,,,,
Task,MGPSUP-1864,50483,Transactions are missing from Reporting,mickael.pois,matthieu,Blocker,Done,Done,2018-03-22 15:52,2018-05-04 14:08,,,,,,
Task,MGPSUP-1845,50413,"""Token processing error"" when the 3DS is asked due to the ""Velocity of the card""",mickael.pois,roxana,Blocker,Done,Done,2018-03-12 12:08,2018-04-18 12:03,,,,,,
Task,MGPSUP-1840,50383,Analysis on Pay-Ins and Preauths stuck in CREATED status since Piranha,mickael.pois,mickael.pois,Blocker,Done,Done,2018-03-07 11:18,2018-03-13 10:06,,,,,,
Task,MGPSUP-1832,50347,Batch payout statut LOCKED,nicolas.gicquel,julien.job,Blocker,Done,Done,2018-03-02 16:01,2018-03-09 12:14,,,,,,
Task,MGPSUP-1825,50296,Erreur bloquante dans la gestion des droits BO,,florian,Blocker,Done,Done,2018-02-23 16:10,2018-02-27 10:20,,,update,,,
Task,MGPSUP-1818,50264,Erreur bloquante dans la gestion des droits BO,laurine.taing,matthieu,Blocker,Done,Done,2018-02-20 16:59,2018-04-12 11:25,,,update_production,,,
Task,MGPSUP-1797,50203,VestiaireCollective has been hacked 2 - Extract the last payouts they requested,richard.prodhomme,florian,Blocker,Done,Done,2018-02-12 18:29,2018-02-13 10:32,,,,,,
Task,MGPSUP-1751,49977,Extract every Paypal Refund closed before being regulated,removed91,removed91,Blocker,Done,Done,2018-01-18 16:06,2018-01-24 16:19,,,,,,
Task,MGPSUP-1746,49969,"Unable to access dispute list on dashboard ""Object reference not set to an instance of an object""",wladimir.dharcourt,tikhoze.banda,Blocker,Done,Done,2018-01-18 13:12,2018-01-23 17:03,,,,,,
Task,MGPSUP-1730,49902,"Transaction refused due to the type ""cash"" instead of ""merchandise""",matthieu,roxana,Blocker,Done,Done,2018-01-12 12:28,2019-02-20 18:59,,,Payout,,,
Task,MGPSUP-1728,49897,User KYC stats for CMA,removed60,hugo.bailey,Blocker,Done,Done,2018-01-12 09:46,2018-02-05 17:14,,,,,,
Task,MGPSUP-1652,49700,Extract created PAYOUTS for Vestiaire Collective,,florian,Blocker,Done,Done,2017-12-11 17:21,2017-12-12 10:55,,,,,,
Task,MGPSUP-1645,49666,VestiaireCollective - Extract the last payouts,laure,florian,Blocker,Done,Done,2017-12-08 12:45,2017-12-08 14:52,,,,,,
Task,MGPSUP-1642,49655,Extract every disputes received for FlexyBeauty,laure,removed91,Blocker,Done,Done,2017-12-07 15:26,2017-12-08 15:16,,,,,,
Task,MGPSUP-1640,49644,VestiaireCollective has been hacked - Extract the last payouts they requested,laurine.taing,florian,Blocker,Done,Done,2017-12-07 09:35,2018-02-12 18:30,,,,,,
Task,MGPSUP-1603,49515,http 500 on GET: .../wallets/wallet_ID/transactions,roxana,roxana,Blocker,Done,Done,2017-11-27 17:31,2017-12-26 11:51,,,,,,
Task,MGPSUP-1586,49468,Error on backoffice admin page,laurine.taing,florian,Blocker,Done,Done,2017-11-23 14:08,2017-11-24 16:59,,,backoffice,,,
Task,MGPSUP-1568,49424,High response time on GET /Wallets requests,laure,florian,Blocker,Done,Done,2017-11-20 12:29,2017-12-11 16:56,,,ResponseTime,TakenTime,,
Task,MGPSUP-1535,49311,Super long Paypal transactions,laurine.taing,yann.person,Blocker,Done,Done,2017-11-08 18:39,2017-11-09 12:38,,,,,,
Task,MGPSUP-1534,49309,Wallet desynchronization 239748852,laurine.taing,roxana,Blocker,Done,Done,2017-11-08 18:05,2017-11-10 11:00,,,update_production,,,
Task,MGPSUP-1528,49269,"Payout - Technical error / Bank account ""no external Id found """,removed60,imane.rahmoun,Blocker,Done,Done,2017-11-06 11:19,2017-11-10 11:44,,,,,,
Task,MGPSUP-1474,49032,Error refund 005403 - The refund cannot exceed initial transaction amount,imane.rahmoun,roxana,Blocker,Done,Done,2017-10-16 10:17,2017-10-16 14:37,,,,,,
Task,MGPSUP-1452,48984,Cannot access BankAccount record,,alexandre.skrzypczak,Blocker,Done,Done,2017-10-05 17:32,2017-10-17 14:20,,,,,,
Task,MGPSUP-1451,48982,Investigate PayPal Status MAX_NUMBER_OF_PAYMENT_ATTEMPTS_EXCEEDED,matthieu,sebastian.vetter,Blocker,Done,Done,2017-10-05 14:33,2017-10-11 13:37,,,paypal,,,
Task,MGPSUP-1444,48971,Consistance des montants,laurine.taing,yann.badre,Blocker,Done,Done,2017-10-05 08:17,2017-11-24 16:59,,,update_production,,,
Task,MGPSUP-1366,48114,CC numbers in clear,imane.rahmoun,yann.person,Blocker,Done,Done,2017-08-31 17:50,2017-09-01 15:50,,,,,,
Task,MGPSUP-1346,47404,Two extracts of transactions done to a particular wallet for a judicial requisition,hugo.bailey,hugo.bailey,Blocker,Done,Done,2017-08-17 15:15,2017-08-18 11:57,,,,,,
Task,MGPSUP-1343,47207,Payline communication issues (SOFORT payment problems),matthieu,tikhoze.banda,Blocker,Done,Done,2017-08-16 18:08,2017-08-17 10:21,,,,,,
Task,MGPSUP-1285,46200,Collect infos on devices used with Sofort issues,sebastian.vetter,marine.houze-de-laulnoit,Blocker,Done,Done,2017-07-26 10:34,2017-10-10 12:37,,,,,,
Task,MGPSUP-1256,45807,"Special Character in ""StatementDescriptor"" causes error",sebastian.vetter,sebastian.vetter,Blocker,Done,Done,2017-07-18 18:07,2017-07-28 10:58,,,,,,
Task,MGPSUP-1251,45723,Fermeture de payins bloqués à cause de wallets à montant négatif,removed60,marine.houze-de-laulnoit,Blocker,Done,Done,2017-07-17 18:01,2017-07-18 17:44,,,update_production,,,
Task,MGPSUP-1250,45722,Cas de wallets avec des montants en négatif,marine.houze-de-laulnoit,laure,Blocker,Done,Done,2017-07-17 16:57,2017-09-07 15:50,,,,,,
Task,MGPSUP-1248,45719,Notification not sent for a payin done using the ibanisation,hugo.bailey,roxana,Blocker,Done,Done,2017-07-17 14:50,2017-07-20 19:19,,,,,,
Task,MGPSUP-1217,45106,User KYC stats for CMA,laurine.taing,hugo.bailey,Blocker,Done,Done,2017-07-05 16:10,2018-01-12 09:46,,,,,,
Task,MGPSUP-1197,44602,MOP configuration page for a client broken,laure,melany.vandewoestyne,Blocker,Done,Done,2017-06-23 12:19,2017-06-27 11:00,,,,,,
Task,MGPSUP-1191,44402,Pb de connectivité avec Greenpoint: docs non envoyés / réponses non traitées,marine.houze-de-laulnoit,marine.houze-de-laulnoit,Blocker,Done,Done,2017-06-21 14:14,2017-07-03 10:24,,,,,,
Task,MGPSUP-1185,44208,Extract of all KYC docs with a PEPs score of 100%,removed60,hugo.bailey,Blocker,Done,Done,2017-06-16 18:41,2017-06-20 14:54,,,,,,
Task,MGPSUP-1180,44106,Easytransacs has extremely high chargeback rate for direct debit payments,roxana,hugo.bailey,Blocker,Done,Done,2017-06-15 14:46,2017-07-27 10:08,,,,,,
Task,MGPSUP-1153,43514,"Increasing error 01904, Bad format request since the end of April",marine.houze-de-laulnoit,roxana,Blocker,Done,Done,2017-06-06 17:34,2017-06-16 10:51,,,,,,
Task,MGPSUP-1144,43435,"Error ""transaction is not authorized"" increasing (x10) since the end of May ",matthieu,alexandre.skrzypczak,Blocker,Done,Done,2017-06-05 17:42,2017-06-09 10:58,,,,,,
Task,MGPSUP-1138,43424,MOP configuration page for a client broken,removed60,roxana,Blocker,Done,Done,2017-06-02 17:51,2017-06-23 15:30,,,,,,
Task,MGPSUP-1124,43207,Extract données suite incident EBRC du 30.05.17,laure,matthieu,Blocker,Done,Done,2017-05-30 15:54,2017-05-30 15:56,,,,,,
Task,MGPSUP-1100,42514,Cards list reporting,removed60,roxana,Blocker,Done,Done,2017-05-18 17:26,2017-05-22 16:06,,,,,,
Task,MGPSUP-1079,41913,Client licence types do not match Salesforce,florian,hugo.bailey,Blocker,Done,Done,2017-05-08 16:32,2017-05-18 19:09,,,,,,
Task,MGPSUP-1077,41911,GoCardless creditor bank accounts are incorrect for the licence type,roxana,hugo.bailey,Blocker,Done,Done,2017-05-08 14:15,2017-05-11 09:26,,,,,,
Task,MGPSUP-1073,41841,Duplicate payin,,roxana,Blocker,Done,Done,2017-05-04 11:50,2017-05-04 12:16,,,,,,
Task,MGPSUP-1058,41709,MOP configuration page for a client broken,laure,roxana,Blocker,Done,Done,2017-04-27 17:24,2017-05-02 10:38,,,update_production,,,
Task,MGPSUP-1055,41703,Payin BCMC contrat 64060271 Failed,marine.houze-de-laulnoit,roxana,Blocker,Done,Done,2017-04-27 12:06,2017-06-02 17:46,,,,,,
Task,MGPSUP-1048,41628,BookingKit are getting timeout errors due to large response times from api.mangopay.com,,tikhoze.banda,Blocker,Done,Done,2017-04-25 18:42,2017-04-26 13:41,,,,,,
Task,MGPSUP-1047,41621,"Paypal status inconsistencies and ""pending"" issues",matthieu,matthieu,Blocker,Done,Done,2017-04-25 12:36,2017-06-23 17:04,,,,,,
Task,MGPSUP-1041,41604,[crowd2fund] List of fraudulent transactions for specific users,hugo.bailey,hugo.bailey,Blocker,Done,Done,2017-04-21 17:48,2017-04-21 17:54,,,,,,
Task,MGPSUP-1034,41528,Extract paypal pour recoupements disputes ,laurine.taing,matthieu,Blocker,Done,Done,2017-04-18 13:46,2017-04-20 15:46,,,,,,
Task,MGPSUP-1008,41322,Increase rate limiting,yann.person,florian,Blocker,Done,Done,2017-04-07 17:00,2017-04-27 09:57,,,,,,
Task,MGPSUP-1001,41301,Client's email list and address,laurine.taing,florian,Blocker,Done,Done,2017-04-06 09:39,2017-04-06 10:43,,,,,,
Task,MGPSUP-987,41106,Cards list reporting,removed60,florian,Blocker,Done,Done,2017-04-04 11:22,2019-08-02 16:08,,,,,,
Task,MGPSUP-986,41101,Bank account creation blocked,roxana,roxana,Blocker,Done,Done,2017-04-04 09:29,2017-04-04 18:07,,,,,,
Task,MGPSUP-976,41000,Client's email list,,florian,Blocker,Done,Done,2017-03-31 09:12,2017-03-31 11:17,,,,,,
Task,MGPSUP-974,40905,GCL creditor has negative balance blocking payments becoming successful,hugo.bailey,hugo.bailey,Blocker,Done,Done,2017-03-30 16:23,2017-04-05 18:50,,,,,,
Task,MGPSUP-967,40843,ACPR - Nombre de comptes par clientid FR au 31.12.2016,laurine.taing,matthieu,Blocker,Done,Done,2017-03-29 16:50,2017-03-31 11:35,,,,,,
Task,MGPSUP-963,40838,Impossible de traiter le virement 62541847 (La référence d'objet n'est pas définie à une instance d'un objet),laurine.taing,matthieu,Blocker,Done,Done,2017-03-29 14:28,2017-04-04 10:29,,,update_production,,,
Task,MGPSUP-955,40802,MOP configuration page for a client broken,imane.rahmoun,roxana,Blocker,Done,Done,2017-03-24 10:35,2018-09-05 14:53,,,,,,
Task,MGPSUP-940,40624,Giropay payins errors and reconciliation,matthieu,matthieu,Blocker,Done,Done,2017-03-20 10:07,2017-04-24 10:11,,,,,,
Task,MGPSUP-928,40510,Issue with recurring payins + 3DS without CVV,matthieu,matthieu,Blocker,Done,Done,2017-03-16 15:48,2017-11-23 16:45,,,,,,
Task,MGPSUP-918,40404,GoCardless creditor bank accounts are incorrect for the licence type,roxana,hugo.bailey,Blocker,Done,Done,2017-03-15 11:21,2017-07-26 22:35,,,,,,
Task,MGPSUP-916,40401,Sofort payins errors and reconciliation,matthieu,matthieu,Blocker,Done,Done,2017-03-15 08:59,2017-04-24 10:11,,,,,,
Task,MGPSUP-909,40329,Investigate why/how this IBAN payout isn't in a batch but is successful,laurine.taing,hugo.bailey,Blocker,Done,Done,2017-03-14 15:58,2017-09-14 16:34,,,,,,
Task,MGPSUP-889,40229,Error code 101104 (Transaction refused by the bank (card limit reached),matthieu,roxana,Blocker,Done,Done,2017-03-10 17:25,2017-11-23 16:45,,,,,,
Task,MGPSUP-871,40033,MOP configuration page for a client broken,laure,roxana,Blocker,Done,Done,2017-03-07 18:38,2017-10-10 13:04,,,update_production,,,
Task,MGPSUP-777,39309,Run script to setup MOP config for JPY in sandbox,removed41,hugo.bailey,Blocker,Done,Done,2017-02-22 16:42,2017-02-23 10:50,,,,,,
Task,MGPSUP-683,38513,Clients at risk of being impacted by a change in 3DS amount,florian,hugo.bailey,Blocker,Done,Done,2017-02-08 09:34,2017-03-10 09:28,,,,,,
Task,MGPSUP-673,38302,Extract Client emails with default settings,removed60,florian,Blocker,Done,Done,2017-02-03 16:03,2017-02-08 12:16,,,,,,
Task,MGPSUP-639,38005,Payouts from Fees wallet included in client report generated on the dashboard,hugo.bailey,tikhoze.banda,Blocker,Done,Done,2017-01-27 13:13,2017-02-06 14:35,,,,,,
Task,MGPSUP-636,37910,Pre-authorization cancelled but not returned,imane.rahmoun,tikhoze.banda,Blocker,Done,Done,2017-01-26 10:41,2017-02-13 09:26,,,,,,
Task,MGPSUP-634,37908,Cards registered as one currency can be used to make payments in a different currency,removed60,eoin.lane,Blocker,Done,Done,2017-01-25 18:29,2017-02-01 11:47,,,,,,
Task,MGPSUP-631,37904,Cards list reporting,florian,florian,Blocker,Done,Done,2017-01-25 15:19,2018-05-24 12:19,,,,,,
Task,MGPSUP-626,37846,Failed refund on duplicate transaction,,marine.houze-de-laulnoit,Blocker,Done,Done,2017-01-24 17:14,2017-02-06 11:18,,,,,,
Task,MGPSUP-603,37601,PAYIN Pre-authorized stuck as CREATED,marine.houze-de-laulnoit,florian,Blocker,Done,Done,2017-01-19 12:01,2017-02-16 09:42,,,,,,
Task,MGPSUP-593,37318,Sofort payment failed in MANGOPAY but was debited,marine.houze-de-laulnoit,tikhoze.banda,Blocker,Done,Done,2017-01-16 18:21,2017-01-19 19:34,,,,,,
Task,MGPSUP-591,37308,"Failures on Direct Payins, after the incidents of the 11th and the 12th of Jan.",matthieu,florian,Blocker,Done,Done,2017-01-16 11:11,2017-01-16 13:42,,,,,,
Task,MGPSUP-590,37307,Sofort payment failed in MANGOPAY but was debited,marine.houze-de-laulnoit,tikhoze.banda,Blocker,Done,Done,2017-01-13 19:00,2017-01-17 10:22,,,,,,
Task,MGPSUP-589,37306,Sofort payment failed in MANGOPAY but was debited,,tikhoze.banda,Blocker,Done,Done,2017-01-13 14:35,2017-01-13 15:40,,,,,,
Task,MGPSUP-588,37301,Sofort payment failed in MANGOPAY but user was debited,,tikhoze.banda,Blocker,Done,Done,2017-01-13 11:45,2017-01-27 10:48,,,,,,
Task,MGPSUP-586,37214,Incident 11.01 - Fermer les payins preauth restés en CREATED,laure,marine.houze-de-laulnoit,Blocker,Done,Done,2017-01-12 17:29,2017-01-30 17:19,2017-01-13 00:00,,update_production,,,
Task,MGPSUP-585,37215,Client has different + strange payin bankwire config (and funds have therefore been sent to the wrong place),roxana,hugo.bailey,Blocker,Done,Done,2017-01-12 17:32,2017-01-13 09:44,,,,,,
Task,MGPSUP-583,37210,Warn clients re preauth timing changes,florian,hugo.bailey,Blocker,Done,Done,2017-01-12 15:22,2017-02-14 17:40,,,,,,
Task,MGPSUP-582,37208,Majority of 3D secure payments are failing,florian,tikhoze.banda,Blocker,Done,Done,2017-01-12 13:44,2017-05-09 13:36,,,,,,
Task,MGPSUP-580,37201,Sofort payment failed in MANGOPAY but was debited,marine.houze-de-laulnoit,tikhoze.banda,Blocker,Done,Done,2017-01-12 10:07,2018-02-13 13:42,,,,,,
Task,MGPSUP-578,37105,Extract - Cartes virtuelles et chargeback malgré 3DS,removed41,matthieu,Blocker,Done,Done,2017-01-11 17:58,2017-11-29 18:26,,,,,,
Task,MGPSUP-577,37100,Mandate creation for Swiss based bank accounts fail with a PSP Technical Error,hugo.bailey,tikhoze.banda,Blocker,Done,Done,2017-01-11 11:51,2017-01-12 10:56,,,,,,
Task,MGPSUP-560,36806,Internal server error - POST /KYC/documents/documentid/pages,,imane.rahmoun,Blocker,Done,Done,2017-01-04 12:07,2018-04-27 14:46,,,,,,
Task,MGPSUP-548,36625,Différence de 1cts entre le fichier d'ordre et le virement de facturation,,matthieu,Blocker,Done,Done,2016-12-29 11:39,2016-12-29 15:26,,,,,,
Task,MGPSUP-505,36101,Investigations on a Hook URL ,removed41,florian,Blocker,Done,Done,2016-12-15 09:51,2016-12-15 14:04,,,,,,
Task,MGPSUP-503,36009,Sofort payment failed in MANGOPAY but was debited,,tikhoze.banda,Blocker,Done,Done,2016-12-14 17:16,2016-12-16 10:36,,,,,,
Task,MGPSUP-447,31826,Clore les anciens payins/bankwire de Twago et autres clients,florian,laure,Blocker,Done,Done,2016-09-06 13:09,2017-03-14 11:10,,,,,,
Task,MGPSUP-438,29519,Anomalie - Maestro recurring issue + Visa déliassage,marine.houze-de-laulnoit,matthieu,Blocker,Done,Done,2016-07-07 16:34,2016-12-22 15:47,,,,,,
Task,MGPSUP-435,33158,Transfer Failed - Wallet credited,matthieu,roxana,Blocker,Done,Done,2016-10-13 15:09,2018-02-02 15:11,,,,,,
Task,MGPSUP-434,19727,Batch virement 4272 bloqué en statut CREATED,matteo.maurizio,matthieu,Blocker,Done,Fixed,2015-02-11 19:17,2016-12-06 11:46,,,update_production,,,
Task,MGPSUP-431,28425,Mouvements partenaires avec des Fees Leetchi,yann.person,laure,Blocker,Done,Done,2016-06-16 10:46,2017-02-09 16:34,,,,,,
Task,MGPSUP-429,15115,[Leetchi] Problème sur la validation des bons en production,matthieu,matthieu,Blocker,Done,Duplicate,2013-12-02 14:14,2016-12-06 11:39,,,,,,
Task,MGPSUP-426,26250,[frizbizprod] Wallet 1277508 non existant,hugo.bailey,roxana,Blocker,Done,Fixed,2016-04-15 09:42,2016-12-06 11:39,,,,,,
Task,MGPSUP-421,16036,"[YOUPIJOB] Erreur ""Impossible d'effectuer un cast d'un objet de type 'NHibernate.Impl.ExpandedQueryExpression' en type 'NHibernate.Linq.NhLinqExpression'.""",florian,florian,Blocker,Done,Fixed,2014-03-26 12:29,2016-12-06 11:38,,,,,,
Task,MGPSUP-376,23843,Pas de rattrapage des transactions CREATED depuis le 21.12,removed41,matthieu,Blocker,Done,Fixed,2015-12-28 12:14,2016-12-06 11:35,,,,,,
Task,MGPSUP-375,31220,[syndicateroom] KYC hooks not received,svetlana.videnova,svetlana.videnova,Blocker,Done,Won't Fix,2016-08-19 15:35,2016-12-06 11:35,,,,,,
Task,MGPSUP-371,32311,[laruche] More details on failed notifications,removed60,roxana,Blocker,Done,Fixed,2016-09-19 11:31,2016-12-06 11:35,,,,,,
